Usuarios,2D,3D,TagTeam,AirDashers,Anime,WeaponBased,Fast-paced,Footsies,SlowPaced,Installbased,CrossOver
Usuario1,x,x,x,,,,,,,,x
Usuario2,x,x,x,x,x,,x,,x,,
Usuario3,x,x,,,,x,,,,,x
Usuario5,x,,,x,,x,,,,,x
Usuario7,x,x,,,,,,,,,x
Usuario8,x,x,x,,,x,,,,,x
Usuario9,x,x,,,,x,,,,,x
Usuario10,x,,,,,,x,,,,
Usuario13,x,,x,,,,,,,,x
Usuario14,x,x,,,,x,,,,,x
Usuario15,x,,,x,,,,,,,x
Usuario16,,x,,,,,,,,,
Usuario17,x,x,x,,,,,x,,,x
Usuario18,x,,x,,,,x,,,,x
Usuario19,x,,,,,,x,,,,
Usuario20,x,,,,x,,,,,,
Usuario21,x,,,,,,x,x,,,